"desc","case_name","grid_name","FROM_UNIXTIME(a.create_time)","reporter_name","reporter_mobile"
"紧急通知：今日厦门新增确诊病例，社会面存在潜在风险。

  请9月8日以来厦门思明区（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）、单位、酒店报备，并按我市相关防控要求落实健康管理措施。近期我市市民如无必要，请勿前往风险区域。中天社区疫情报备电话：0591-83845734","疫情防控","领秀苑","2022-09-15 21:43:21",NULL,NULL
"紧急通知：今日厦门新增确诊病例，社会面存在潜在风险。

  请9月8日以来厦门思明区（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）、单位、酒店报备，并按我市相关防控要求落实健康管理措施。近期我市市民如无必要，请勿前往风险区域。中天社区疫情报备电话：0591-83845734","疫情防控","俊仕苑","2022-09-15 21:43:21",NULL,NULL
"紧急通知：今日厦门新增确诊病例，社会面存在潜在风险。

  请9月8日以来厦门思明区（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）、单位、酒店报备，并按我市相关防控要求落实健康管理措施。近期我市市民如无必要，请勿前往风险区域。中天社区疫情报备电话：0591-83845734","疫情防控","云顶苑","2022-09-15 21:43:21",NULL,NULL
"紧急通知：今日厦门新增确诊病例，社会面存在潜在风险。

  请9月8日以来厦门思明区（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）、单位、酒店报备，并按我市相关防控要求落实健康管理措施。近期我市市民如无必要，请勿前往风险区域。中天社区疫情报备电话：0591-83845734","疫情防控","金爵苑","2022-09-15 21:43:21",NULL,NULL
"紧急通知：今日厦门新增确诊病例，社会面存在潜在风险。

  请9月8日以来厦门思明区（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）、单位、酒店报备，并按我市相关防控要求落实健康管理措施。近期我市市民如无必要，请勿前往风险区域。中天社区疫情报备电话：0591-83845734","疫情防控","爱唯大地幼儿园","2022-09-15 21:43:21",NULL,NULL
"共享单车摆放不到位","其他工作","爱唯大地幼儿园","2022-09-16 09:03:48",NULL,NULL
"居民乱投垃圾","小区管理","领秀苑","2022-09-16 09:16:36",NULL,NULL
"天骄苑25栋有垃圾","小区管理","中天社区","2022-09-16 09:17:03",NULL,NULL
"天骄苑25栋有垃圾","小区管理","综合组","2022-09-16 09:18:05","周","157*****870"
"居民乱投放垃圾","小区管理","综合组","2022-09-16 09:18:31","吴*士","159*****280"
"垃圾未清理。","小区管理","金爵苑","2022-09-16 10:01:39",NULL,NULL
"电动车占用楼道出入口","小区管理","云顶苑","2022-09-16 10:28:07",NULL,NULL
"非机动车乱停放","小区管理","云顶苑","2022-09-16 10:30:22",NULL,NULL
"9月16日，上报4号楼非机动车堵塞通道","消防安全","云顶苑4栋高层","2022-09-16 10:45:34",NULL,NULL
"9月16日，上报4号楼非机动车乱停放堵塞通道","消防安全","云顶苑","2022-09-16 10:55:27",NULL,NULL
"领秀苑西面消防通道上，堆放不该有的物品。","消防安全","领秀苑","2022-09-16 11:03:17",NULL,NULL
"天骄苑垃圾屋有垃圾","小区管理","综合组","2022-09-16 14:48:37","程","157*****870"
"垃圾屋有垃圾","小区管理","中天社区","2022-09-16 14:49:27",NULL,NULL
"38号楼东梯负一楼电梯上行摁钮失灵。","小区管理","综合组","2022-09-16 14:56:30","温","158*****519"
"俊仕苑小区路面垃圾乱丢","小区管理","俊仕苑","2022-09-16 14:57:06",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-16 15:06:01",NULL,NULL
"沿街垃圾待清理。","其他工作","金爵苑","2022-09-19 09:03:14",NULL,NULL
"天骄苑38座东梯一楼大厅有杂物，请派人处理。","小区管理","天骄苑38栋高层","2022-09-19 09:20:50",NULL,NULL
"天骄苑垃圾屋垃圾","小区管理","中天社区","2022-09-19 09:24:05",NULL,NULL
"店面居民乱丢垃圾","小区管理","领秀苑","2022-09-19 09:29:01",NULL,NULL
"共享单车过多","其他工作","爱唯大地幼儿园","2022-09-19 11:50:13",NULL,NULL
"天骄苑有垃圾","小区管理","综合组","2022-09-19 15:04:50","林","157*****870"
"天骄苑有垃圾","小区管理","综合组","2022-09-19 15:06:20","林","157*****870"
"俊仕苑小区门口店面垃圾乱堆放","小区管理","俊仕苑","2022-09-19 15:10:41",NULL,NULL
"垃圾要及时清理","小区管理","天骄苑","2022-09-19 16:39:31",NULL,NULL
"居民乱丢垃圾","小区管理","领秀苑","2022-09-20 09:26:37",NULL,NULL
"路面垃圾堆放。","街面秩序","金爵苑","2022-09-20 09:37:24",NULL,NULL
"天骄有垃圾","小区管理","综合组","2022-09-20 11:22:04","林",15705998870
"天骄有垃圾","小区管理","综合组","2022-09-20 11:22:35","林",15705998870
"店面居民乱丢垃圾。","小区管理","综合组","2022-09-20 11:24:48","吴*士","159*****280"
"小区垃圾","小区管理","天骄苑","2022-09-20 13:08:01",NULL,NULL
"电动车摆放不整齐","其他工作","爱唯大地幼儿园","2022-09-20 15:09:37",NULL,NULL
"工单：深入开展重点行业领域安全整治行动
一、具体内容：
党的二十大召开在即，根据任巍常务副区长指示要求，请各社区（村）、相关站办（部门）务必深刻认识当前安全生产工作的极端重要性，吸取近期国内事故教训，强化底线思维，认真组织开展“隐患清剿”、高温天气消防安全“敲门提醒”、厂房仓库消防安全整治、道路交通安全百日攻坚大会战等专项行动，确保党的二十大召开期间不发生生产安全事故，不冒烟，不着火。
二、具体要求：
1.各一级网格长（社区书记）聚焦辖区危化、燃气、消防、道路交通、自建房整治等重点行业领域，动员二、三级网格“拉网式”全面排查整治安全隐患，发现问题立整立改，坚决遏制各类安全事故发生。
2.各二级网格发挥“网格化”优势，深入各行业领域企业，督促企业落实安全生产标准化建设，并做好安全宣传，增强企业安全管理和事故防范能力。
3.执法组做好重点行业领域安全抽查工作。","消防安全","中天社区","2022-09-20 16:01:30",NULL,NULL
"小区垃圾未清理","小区管理","金爵苑","2022-09-21 07:51:49",NULL,NULL
"天骄苑38座东梯天台上有垃圾","小区管理","天骄苑38栋高层","2022-09-21 09:01:44",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-21 09:04:44",NULL,NULL
"天骄苑的菜鸟驿站有垃圾","小区管理","综合组","2022-09-21 09:07:11","林","157*****870"
"天骄苑这里的牌子倒了","小区管理","综合组","2022-09-21 09:07:34","林","157*****870"
"天骄这里垃圾没处理","小区管理","综合组","2022-09-21 09:08:00","林","157*****870"
"共享单车摆放不到位","其他工作","爱唯大地幼儿园","2022-09-21 09:09:13",NULL,NULL
"俊仕苑小区店面门口垃圾乱丢","小区管理","俊仕苑","2022-09-21 09:43:36",NULL,NULL
"领秀苑1.2号楼路灯损坏","小区管理","领秀苑","2022-09-21 10:36:35",NULL,NULL
"领秀苑1,2号楼路灯损坏。","小区管理","综合组","2022-09-21 10:57:21","吴*士","159*****280"
"天骄38栋旁边","小区管理","综合组","2022-09-22 09:01:04","林","157*****870"
"共享单车摆放不到位","其他工作","爱唯大地幼儿园","2022-09-22 09:06:51",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-22 09:10:40",NULL,NULL
"小区建筑垃圾待清理。","小区管理","金爵苑","2022-09-22 09:11:57",NULL,NULL
"居民误时投放垃圾","小区管理","领秀苑","2022-09-22 17:03:32",NULL,NULL
"居民乱堆放垃圾","小区管理","领秀苑","2022-09-23 09:30:58",NULL,NULL
"天骄苑垃圾屋有垃圾","小区管理","综合组","2022-09-23 09:36:19","林",15705998870
"消防通道占道停车","小区管理","俊仕苑","2022-09-23 09:41:47",NULL,NULL
"共享单车过多","其他工作","爱唯大地幼儿园","2022-09-23 10:24:58",NULL,NULL
"天骄苑37栋前面绿化有垃圾","小区管理","天骄苑38栋高层","2022-09-23 15:03:32",NULL,NULL
"天骄苑6座附近有垃圾","小区管理","综合组","2022-09-23 15:12:11","林","157*****870"
"天骄这里有垃圾","小区管理","综合组","2022-09-23 15:12:27","林","157*****870"
"天骄苑有垃圾","小区管理","综合组","2022-09-23 15:12:42","林","157*****870"
"天骄苑有垃圾","小区管理","综合组","2022-09-23 15:12:57","林",15705998870
"路面垃圾待清理","小区管理","金爵苑","2022-09-23 15:47:35",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-23 17:40:13",NULL,NULL
"中天社区中天金海岸值班人员口罩佩戴不规范，未测温查看健康码","疫情防控","监督组","2022-09-26 09:43:36",NULL,NULL
"中天社区中天金海岸值班人员没戴口罩未测温查看健康码","疫情防控","监督组","2022-09-26 09:47:11",NULL,NULL
"俊仕苑消防通道占道停车","街面秩序","俊仕苑","2022-09-26 15:37:22",NULL,NULL
"居民乱投放垃圾","小区管理","领秀苑","2022-09-26 15:45:25",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-26 23:45:03",NULL,NULL
"小区垃圾","小区管理","天骄苑","2022-09-27 15:06:45",NULL,NULL
"绿化带里有垃圾。","小区管理","领秀苑","2022-09-27 15:10:06",NULL,NULL
"这里走垃圾","小区管理","综合组","2022-09-27 15:15:43","林","157*****870"
"俊仕苑垃圾屋误时投放","小区管理","俊仕苑","2022-09-27 15:20:20",NULL,NULL
"垃圾未定时投放。","小区管理","金爵苑","2022-09-27 15:27:02",NULL,NULL
"大地幼儿园门口共享单车随意停放","街面秩序","天骄苑38栋高层","2022-09-28 07:59:17",NULL,NULL
"天骄苑这里有垃圾","小区管理","综合组","2022-09-28 08:55:58","冯","157*****870"
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","天骄苑","2022-09-28 09:10:51",NULL,NULL
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","领秀苑","2022-09-28 09:10:51",NULL,NULL
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","俊仕苑","2022-09-28 09:10:51",NULL,NULL
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","云顶苑","2022-09-28 09:10:51",NULL,NULL
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","金爵苑","2022-09-28 09:10:52",NULL,NULL
"紧急通知：请辖区居民9月19日以来天津市滨海新区，云南省昆明市，广东省惠州市，安徽阜阳市，陕西咸阳市，宁夏吴忠市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）。•单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","爱唯大地幼儿园","2022-09-28 09:10:52",NULL,NULL
"杂物堆放","小区管理","天骄苑","2022-09-28 11:47:46",NULL,NULL
"小区植物干枯，需要浇水。","小区管理","领秀苑","2022-09-28 16:14:43",NULL,NULL
"消防通道占道停车","消防安全","俊仕苑","2022-09-29 17:58:16",NULL,NULL
"垃圾误时投放","小区管理","天骄苑","2022-09-29 18:51:37",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","天骄苑","2022-09-29 19:30:38",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","领秀苑","2022-09-29 19:30:38",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","俊仕苑","2022-09-29 19:30:38",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","云顶苑","2022-09-29 19:30:38",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","金爵苑","2022-09-29 19:30:38",NULL,NULL
"紧急通知：请辖区居民9月21日以来广东深圳市宝安区，四川省马尔康市，福建厦门思明区，湖北武汉市。9.25江苏省镇江市。9.26山西省太原市（返）榕人员，务请在抵榕就近进行一次核酸检测，且完成三天两检，配合属地落实健康管理措施。第一时间主动向所在社区（村）单位、酒店报备
并按我市相关防控要求落实健康管理措施。近期我市市民如
无必要，请勿前往风险区域。中天社区疫情报备电话：
0591-83845734","疫情防控","爱唯大地幼儿园","2022-09-29 19:30:39",NULL,NULL
"紧急通知：西藏、新疆、四川省成都市等省外入（返）榕的人员：7天内有上述地区旅居史的入（返）榕人员，务请在抵榕时就近进行1次核酸检测，并配合属地落实健康管理措施。
贵州省毕节市织金县入（返）榕的人员：对9月2日（含）起有贵州省毕节市织金县低风险区旅居史的入（返）榕人员参照中风险区入（返）榕人员执行，超过7天的进行1次核酸检测，结果阴性方可解除健康管理。
云南省昆明市入（返）榕的人员：对9月13日（含）起有云南省昆明市西山区、安宁市低风险区旅居史的入（返）榕人员参照中风险区入（返）榕人员执行；对有昆明市其他地区旅居史的入（返）榕人员实行3天2检（含落地检）；超过7天的进行1次核酸检测，结果阴性方可解除健康管理。
中天社区疫情报备电话：
0591-83845734","疫情防控","天骄苑","2022-09-29 19:32:41",NULL,NULL
